Chapter�,Topic,Type of Question,Question,Answers
Basics,Step-by-step analysis of biological data,Fact-Based,What is the best way to analyze biological data?,"Follow a step-by-step approach: (1) Ask a biological question, (2) Form hypotheses, (3) Identify variables, (4) Decide on statistical tests, (5) Design an experiment, (6) Check assumptions, (7) Analyze and interpret data, (8) Present results with graphs or tables."
Basics,Step-by-step analysis of biological data,Opinion-Based,What is the most important thing to remember when analyzing data?,"Plan before experimenting! If you think carefully and plan well, your experiment will be easy to understand and analyze."
Basics,Step-by-step analysis of biological data,Comparative,What is the difference between a biological null hypothesis and an alternative hypothesis?,"A null hypothesis says there is no effect (e.g., ""Different amino acid sequences do not change PGM activity""). An alternative hypothesis says there is an effect (e.g., ""Different amino acid sequences change PGM activity"")."
Basics,Step-by-step analysis of biological data,Hypothetical,"If error bars in a graph are far apart, what does that mean?","It means high variability in the data. The measurements differ a lot, possibly due to biological differences, measurement errors, or small sample sizes."
Basics,Step-by-step analysis of biological data,Causal,What does ANOVA assume?,"ANOVA assumes that the data is normally distributed and has equal variance (homoscedasticity). If not, other tests like Kruskal-Wallis might be better."
Basics,Step-by-step analysis of biological data,Interpretive,"If ANOVA gives a p-value less than 0.05, what does it mean?",It means that at least one group is significantly different from the others. This suggests that PGM sequences may affect glycogen content.
Basics,Step-by-step analysis of biological data,Evaluative,What is the best way to present your results?,A graph is usually better than a table because it makes trends easier to see.
Basics,Types of biological variables,Fact-Based,What are the three types of biological variables?,"Measurement variables (numbers like ""3.7 mm""), Nominal variables (categories like ""male/female""), and Ranked variables (positions like ""first/second/third"")."
Basics,Types of biological variables,Opinion-Based,What is the best way to analyze a Likert scale item?,"Some people treat it as nominal data (count responses), while others treat it as ranked or measurement data for better insights."
Basics,Types of biological variables,Comparative,"What is the difference between circular, ratio, nominal, and ranked variables?","Circular data represents directions (e.g., wind direction). Ratio variables have a true zero (e.g., weight). Nominal variables have categories (e.g., blood type). Ranked variables have an order (e.g., pain levels)."
